そうよう,掻痒,名詞,1
そくさ,側鎖,名詞,1
そくせん,側線,名詞,0
そくとうよう,側頭葉,名詞,0
ぞうせい,増生,サ行(する)&名詞,1
ぞくりゅう,粟粒,名詞,1
ぞる,ゾル,名詞,1
たいか,耐過,サ行(する)&名詞,1
たいくう,体腔,名詞,1
たいじ,胎仔,名詞,1
たいせつ,体節,名詞,1
たいぶ,体部,名詞,1
たいもう,大網,名詞,1
たいれい,胎齢,名詞,1
たん,痰,名詞,1
たんい,単為,名詞,1
たんこうるい,単孔類,名詞,0
たんしよう,単子葉,名詞,0
たんそ,炭疽,名詞,1
たんたい,担体,名詞,1
たんてい,単蹄,名詞,1
たんのう,胆嚢,サ行(する)&名詞,0
たんぴょう,単票,名詞,1
だいたい,大腿,名詞,1
だいちょうきん,大腸菌,名詞,0
ちい,地衣,名詞,0
ちけん,知見,名詞,1
ちつ,膣,名詞,2
ちつせん,膣栓,名詞,1
ちゃくしょう,着床,サ行(する)&名詞,1
ちゃんすう,昌洙,名詞,1
ちゅうかく,中隔,名詞,1
ちゅうしゃしん,注射針,名詞,1
ちゅうしゃとう,注射筒,名詞,1
ちゅうはいよう,中胚葉,名詞,1
ちゅうひ,中皮,名詞,1
ちょうかん,腸管,名詞,1
ちょうかんまく,腸間膜,名詞,1
ちょうない,腸内,名詞,1
ちょくじ,直示,名詞,1
ちょりゅう,貯留,名詞,1
ちんさ,沈渣,名詞,1
ていもう,剃毛,名詞,1
てきき,適期,名詞,1
てっき,適期,名詞,1
てんじょう,点状,名詞,1
でんきえいどう,電気泳動,サ行(する)&名詞,1
でんけん,電顕,名詞,1
でんしとめーた,デンシトメータ,名詞,1
でんぶ,臀部,名詞,0
とうしつ,糖質,名詞,1
とうすう,頭数,名詞,1
とうそく,頭側,名詞,1
とうそくるい,頭足類,名詞,0
とうちょう,頭頂,名詞,0
とうぶ,頭部,名詞,4
とまつ,塗沫,サ行(する)&名詞,1
どうこう,瞳孔,名詞,0
どうたい,動態,名詞,1
どうてい,同定,サ行(する)&名詞,4
どうふく,同腹,名詞,1
どっとぶろっと,ドットブロット,名詞,1
ないいんせい,内因性,名詞,1
ないさいぼうかい,内細胞塊,名詞,1
ないそく,内側,名詞,1
ないぶんぴつけい,内分泌系,名詞,1
なまわく,生ワク,名詞,1
なんたいどうぶつ,軟体動物,名詞,0
なんぶ,軟部,名詞,1
にくが,肉芽,名詞,1
にくすい,肉垂,名詞,1
にほうせい,二峰性,名詞,1
にゅーろん,ニューロン,名詞,1
にゅうとう,乳糖,名詞,0
にゅうとう,乳頭,名詞,1
にゅうとうきん,乳頭筋,名詞,1
